Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
ABCD3	71.8052	69.8102	72.3564	71.9378	72.1029	72.8661
ABCD4	14.6775	16.1711	15.8177	16.4467	16.2929	14.7122
ABCE1	217.826	212.64	213.395	197.239	193.863	201.354
ABCF1	131.498	137.307	136.126	108.345	108.861	111.706
ABCF2	110.766	107.457	109.451	120.481	117.662	118.942
ABCF2P1	0.249759	0.171314	0.44061	0.101131	0.184819	0.298479
ABCF2P2	nan	nan	nan	nan	nan	nan
ABCF3	98.8623	107.543	103.216	87.8152	85.061	82.7532
ABCG1	1.24879	1.39192	1.32183	3.30363	3.52312	3.43251
ABCG2	2.33108	2.67678	2.5947	0.977604	1.30528	1.41778
ABCG4	nan	nan	nan	nan	nan	nan
ABCG5	nan	nan	nan	nan	nan	nan
ABCG8	nan	nan	nan	nan	nan	nan
ABHD1	0.666023	0.877982	0.88122	0.539368	0.877892	0.895438
ABHD10	63.0639	60.3878	64.4926	58.4538	57.1773	57.6808
ABHD11	31.5944	32.2927	33.4374	37.2501	34.9311	35.7803
ABHD12	38.7544	39.4451	38.9206	38.9694	36.6635	38.9514
ABHD12B	nan	nan	nan	nan	nan	nan
ABHD13	18.1075	18.8231	18.7178	17.6306	18.4704	18.7669
ABHD14A	4.87603	5.30501	5.21883	4.9084	5.49574	4.32236
ABHD14A-ACY1	1.20747	1.14693	1.30778	0.951463	0.692658	1.31869
ABHD14B	31.8857	31.9414	30.3859	25.1143	24.8791	24.1395
ABHD15	3.6215	3.98304	3.62074	6.53983	5.71785	5.67111
ABHD16A	21.2293	24.2836	23.9722	19.8554	19.3251	18.8788
ABHD16B	3.66313	3.7689	4.07972	3.74186	4.62048	4.8876
ABHD17A	57.869	63.0881	60.9178	65.603	64.673	65.9551
ABHD17AP1	0.271176	0.234284	0.36664	0.30977	0.32864	0.381266
ABHD17AP2	0.283547	0.245757	0.38552	0.324648	0.345727	0.399802
ABHD17AP3	0.22074	0.145688	0.200671	0.13556	0.147946	0.112768
ABHD17AP4	nan	nan	nan	nan	nan	nan
ABHD17AP5	nan	nan	nan	nan	nan	nan
ABHD17AP6	nan	nan	nan	nan	nan	nan
ABHD17B	13.0291	11.7564	12.4186	12.1695	11.4588	12.1257
ABHD17C	16.6506	16.2319	16.9228	21.642	20.5729	19.625
ABHD2	1284.74	1276.88	1204.65	1189.55	1236.78	1222.66
